GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
s0,server,BroadbandHandler.BroadbandFailureResponse,10,0,0,0,2,0,2,0,2,0
s0,server,BroadbandHandler.BroadbandSuccessResponse,15,0,0,0,2,0,3,0,3,0
s0,server,BroadbandHandler,20,0,0,0,4,0,4,0,4,0
s0,server,Server,10,0,0,0,2,0,2,0,2,0
s0,sources,CensusSource,5,0,0,0,1,0,1,0,1,0
s0,sources,CensusData,5,0,0,0,1,0,1,0,1,0
s0,sources,DataSourceException,5,0,0,0,1,0,1,0,1,0
s0,sources,AcsCensusSource,25,0,0,0,5,0,5,0,5,0
s0,edu.brown.cs.student.main.server,BroadbandHandler.BroadbandFailureResponse,0,26,0,0,0,3,0,4,0,4
s0,edu.brown.cs.student.main.server,BroadbandHandler.new CacheLoader() {...},0,20,0,0,0,4,0,2,0,2
s0,edu.brown.cs.student.main.server,Server,59,0,0,0,16,0,3,0,3,0
s0,edu.brown.cs.student.main.server,BroadbandHandler,9,130,0,10,2,32,0,9,0,4
s0,edu.brown.cs.student.main.server,BroadbandHandler.BroadbandSuccessResponse,0,52,0,0,0,5,0,8,0,8
s0,edu.brown.cs.student.main.sources,AcsCensusSource,39,258,3,11,11,49,3,9,0,5
s0,edu.brown.cs.student.main.sources,CensusData,0,9,0,0,0,1,0,2,0,2
s0,edu.brown.cs.student.main.sources,DataSourceException,0,4,0,0,0,2,0,1,0,1
s0,sources.mocks,StaleMockCensusSource,10,0,0,0,2,0,2,0,2,0
s0,sources.mocks,EchoMockCensusSource,10,0,0,0,2,0,2,0,2,0
s0,edu.brown.cs.student.main.sources.mocks,StaleMockCensusSource,0,420,0,4,0,58,0,4,0,2
s0,edu.brown.cs.student.main.sources.mocks,EchoMockCensusSource,0,9,0,0,0,4,0,2,0,2
